timestamp,minute_of_day,pv_power_kw,battery_soc_kwh,battery_soc_pct,battery_charge_kw,battery_discharge_kw,pv_to_load_kw,pv_to_battery_kw,pv_wasted_kw,grid_to_load_kw,bedroom_kw,hall_kw,kitchen_kw,washing_machine_kw,motor_pump_kw,geyser_kw,bedroom_source,hall_source,kitchen_source,washing_machine_source,motor_pump_source,geyser_source
2025-12-06 00:55:00,55,0.0,1.912,47.8,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:56:00,56,0.0,1.91,47.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:57:00,57,0.0,1.908,47.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:58:00,58,0.0,1.907,47.7,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 00:59:00,59,0.0,1.905,47.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:00:00,60,0.0,1.904,47.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:01:00,61,0.0,1.902,47.6,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:02:00,62,0.0,1.901,47.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:03:00,63,0.0,1.899,47.5,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:04:00,64,0.0,1.897,47.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:05:00,65,0.0,1.896,47.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:06:00,66,0.0,1.894,47.4,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:07:00,67,0.0,1.893,47.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:08:00,68,0.0,1.891,47.3,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:09:00,69,0.0,1.889,47.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:10:00,70,0.0,1.888,47.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:11:00,71,0.0,1.886,47.2,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:12:00,72,0.0,1.885,47.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
2025-12-06 01:13:00,73,0.0,1.883,47.1,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,SOLAR,SOLAR,SOLAR,GRID,GRID,GRID
